date,temperature_c,humidity_percent,wind_speed_kmph,pressure_hpa,cloud_cover_percent,dew_point_c,visibility_km,rainfall_mm
2018-01-01,23.11,51.49,18.68,1002.49,73.0,7.31,6.74,3.76
2018-01-02,43.28,57.87,16.65,1013.6,18.45,6.52,5.13,0.16
2018-01-03,35.62,88.36,8.81,1005.32,34.66,20.1,9.68,3.79
2018-01-04,30.95,47.2,30.36,983.75,66.33,29.15,2.97,0.38
2018-01-05,15.46,89.57,23.83,988.35,48.21,17.57,6.29,4.96
2018-01-06,15.46,27.05,43.29,989.87,73.86,6.29,7.3,1.98
2018-01-07,12.03,82.14,1.61,991.6,96.12,10.53,8.43,7.27
2018-01-08,40.32,87.8,32.19,1005.44,11.65,11.12,4.66,11.43
2018-01-09,31.04,34.55,38.15,1002.68,70.96,13.45,7.18,2.16
2018-01-10,34.78,54.43,37.97,989.14,23.03,6.09,3.73,2.47
2018-01-11,10.72,33.24,44.3,983.04,41.45,27.62,4.92,3.57
2018-01-12,43.95,76.53,36.45,987.71,3.29,17.89,9.06,0.88
2018-01-13,39.14,62.83,46.39,1024.3,13.59,21.77,9.55,10.49
2018-01-14,17.43,70.83,16.63,1001.08,31.98,6.68,7.47,2.27
2018-01-15,16.36,35.72,25.16,1019.03,34.2,6.35,4.37,0.73
2018-01-16,16.42,36.94,0.7,1018.19,89.96,19.66,8.38,5.75
2018-01-17,20.65,23.32,0.35,1003.02,74.18,27.18,1.23,0.99
2018-01-18,28.37,45.77,12.01,1011.8,97.22,18.21,1.92,0.62
2018-01-19,25.12,64.78,5.04,988.67,59.91,26.95,6.95,3.31
2018-01-20,20.19,88.63,13.01,1010.98,24.17,25.27,3.62,4.45
2018-01-21,31.41,73.35,8.85,992.26,32.77,6.9,9.56,3.37
2018-01-22,14.88,54.83,1.43,1017.44,31.98,10.05,4.92,4.27
2018-01-23,20.23,96.25,45.47,983.77,32.65,21.44,4.86,0.49
2018-01-24,22.82,77.54,0.41,1014.79,67.3,16.09,7.1,2.59
2018-01-25,25.96,94.41,36.8,984.5,53.08,12.27,7.91,1.77
2018-01-26,37.48,62.21,7.61,1019.65,38.54,15.47,5.28,14.5
2018-01-27,16.99,40.71,45.61,993.69,14.91,16.13,2.93,0.2
2018-01-28,28.0,24.23,44.64,1009.45,2.21,27.76,7.96,1.42
2018-01-29,30.73,78.09,32.7,1001.94,21.88,7.59,3.88,11.38
2018-01-30,11.63,29.7,33.61,996.48,10.75,11.99,2.58,16.42
2018-01-31,31.26,44.22,0.27,1009.04,78.54,18.44,6.68,6.97
2018-02-01,15.97,62.6,49.24,1022.64,11.25,22.46,1.81,0.32
2018-02-02,12.28,65.15,43.89,981.86,72.42,20.77,9.74,3.3
2018-02-03,43.21,68.05,44.76,1021.35,38.57,28.54,6.69,2.04
2018-02-04,43.8,33.3,32.96,1007.41,7.34,24.89,9.87,6.57
2018-02-05,38.29,50.38,17.24,1016.33,81.27,18.93,4.05,0.23
2018-02-06,20.66,69.38,44.68,997.27,57.96,10.37,9.74,0.88
2018-02-07,13.42,97.59,14.58,1001.23,23.58,16.27,2.31,2.69
2018-02-08,33.95,78.21,28.14,1019.1,89.47,22.33,1.37,0.69
2018-02-09,25.41,93.81,4.99,998.67,4.53,25.95,1.3,4.72
2018-02-10,14.27,80.98,46.1,1004.06,20.18,28.99,5.18,6.88
2018-02-11,27.33,67.34,7.04,980.91,75.2,20.14,1.75,4.88
2018-02-12,11.2,35.36,11.24,987.14,70.94,18.17,5.61,2.32
2018-02-13,41.83,73.33,27.91,1008.88,28.93,5.44,3.95,8.43
2018-02-14,19.06,69.87,38.2,1012.26,6.2,6.8,4.02,0.59
2018-02-15,33.19,68.2,30.97,1006.22,85.81,8.9,6.72,1.21
2018-02-16,20.91,59.18,11.61,986.45,31.37,6.37,2.47,2.69
2018-02-17,28.2,62.29,0.05,1000.04,19.57,15.02,7.9,0.25
2018-02-18,29.13,46.76,37.86,995.98,51.61,13.42,6.24,0.4
2018-02-19,16.47,61.55,49.26,1002.3,91.02,20.93,9.23,2.03
2018-02-20,43.94,35.8,40.5,1019.16,4.35,18.39,4.28,11.52
2018-02-21,37.13,84.41,23.01,1014.91,76.58,19.9,9.84,9.56
2018-02-22,42.88,34.86,45.19,983.78,57.25,16.8,6.18,2.51
2018-02-23,41.32,26.8,20.49,1020.06,42.54,11.94,9.76,0.61
2018-02-24,30.93,54.9,26.25,1001.23,74.41,28.82,1.24,0.78
2018-02-25,42.27,72.66,23.86,1013.47,96.58,7.16,7.55,1.9
2018-02-26,13.1,55.02,22.38,986.3,22.92,28.47,8.35,0.94
2018-02-27,16.86,42.14,38.76,1010.18,14.36,12.78,1.48,0.35
2018-02-28,11.58,64.65,26.34,990.63,91.29,17.82,6.21,4.48
2018-03-01,21.39,47.76,15.84,999.73,66.9,7.72,8.22,3.48
2018-03-02,23.6,94.63,12.91,980.76,43.8,6.77,6.05,1.38
2018-03-03,19.5,93.81,1.89,986.82,57.33,15.74,1.57,6.04
2018-03-04,39.01,60.19,29.16,984.14,74.56,23.54,7.24,5.98
2018-03-05,22.49,46.23,11.5,990.79,77.3,11.73,1.55,2.7
2018-03-06,19.83,78.97,7.41,984.5,91.99,19.06,8.36,0.41
2018-03-07,28.99,22.94,32.69,1011.14,42.68,11.97,1.39,10.03
2018-03-08,14.93,57.98,34.06,981.31,29.34,14.72,2.24,4.42
2018-03-09,38.08,46.91,37.61,1007.8,63.97,27.66,3.48,1.14
2018-03-10,12.61,93.64,25.18,986.33,41.57,26.4,6.7,3.77
